dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;2;44,19;33,44;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;37,0000;11,0000;196,0000;67,0000;0,7708;0,3558;0,4868;0,8116;0,3494
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;44,0000;11,0000;196,0000;60,0000;0,8000;0,4231;0,5535;0,7886;0,4191
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;46,0000;15,0000;192,0000;58,0000;0,7541;0,4423;0,5576;0,7841;0,4123
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;43,0000;11,0000;196,0000;61,0000;0,7963;0,4135;0,5443;0,6802;0,4093
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;34,0000;13,0000;194,0000;70,0000;0,7234;0,3269;0,4503;0,6321;0,3058
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;43,0000;11,0000;196,0000;61,0000;0,7963;0,4135;0,5443;0,7886;0,4093
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;35,0000;13,0000;194,0000;69,0000;0,7292;0,3365;0,4605;0,7841;0,3161
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;45,0000;11,0000;196,0000;59,0000;0,8036;0,4327;0,5625;0,7955;0,4288
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;50,0000;16,0000;191,0000;54,0000;0,7576;0,4808;0,5882;0,7873;0,4438
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;39,0000;10,0000;197,0000;65,0000;0,7959;0,3750;0,5098;0,6633;0,3762
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;37,0000;14,0000;193,0000;67,0000;0,7255;0,3558;0,4774;0,6441;0,3300
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;62,0000;26,0000;181,0000;42,0000;0,7045;0,5962;0,6458;0,8297;0,4893
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;35,0000;13,0000;194,0000;69,0000;0,7292;0,3365;0,4605;0,7948;0,3161
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;43,0000;11,0000;196,0000;61,0000;0,7963;0,4135;0,5443;0,7877;0,4093
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;50,0000;15,0000;192,0000;54,0000;0,7692;0,4808;0,5917;0,7857;0,4503
BOOKKEEPER;2;44,19;33,44;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;42,0000;9,0000;198,0000;62,0000;0,8235;0,4038;0,5419;0,6802;0,4127
