dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;2;10,22;18,02;RANDOMFOREST;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;148,0000;298,0000;521,0000;32,0000;0,3318;0,8222;0,4728;0,7765;0,2907
OPENJPA;2;10,22;18,02;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;5,0000;1,0000;818,0000;175,0000;0,8333;0,0278;0,0538;0,5133;0,0426
OPENJPA;2;10,22;18,02;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;72,0000;125,0000;694,0000;108,0000;0,3655;0,4000;0,3820;0,6237;0,2386
OPENJPA;2;10,22;18,02;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;28,0000;2,0000;817,0000;152,0000;0,9333;0,1556;0,2667;0,8728;0,2269
OPENJPA;2;10,22;18,02;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;68,0000;19,0000;800,0000;112,0000;0,7816;0,3778;0,5094;0,8488;0,4441
OPENJPA;2;10,22;18,02;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;127,0000;267,0000;552,0000;53,0000;0,3223;0,7056;0,4425;0,7223;0,2593
OPENJPA;2;10,22;18,02;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;72,0000;30,0000;789,0000;108,0000;0,7059;0,4000;0,5106;0,8030;0,4373
OPENJPA;2;10,22;18,02;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;78,0000;106,0000;713,0000;102,0000;0,4239;0,4333;0,4286;0,6520;0,3013
OPENJPA;2;10,22;18,02;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;53,0000;20,0000;799,0000;127,0000;0,7260;0,2944;0,4190;0,6350;0,3515
OPENJPA;2;10,22;18,02;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;79,0000;106,0000;713,0000;101,0000;0,4270;0,4389;0,4329;0,7224;0,3061
OPENJPA;2;10,22;18,02;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;53,0000;20,0000;799,0000;127,0000;0,7260;0,2944;0,4190;0,8030;0,3515
OPENJPA;2;10,22;18,02;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;173,0000;739,0000;80,0000;7,0000;0,1897;0,9611;0,3168;0,7243;0,0227
OPENJPA;2;10,22;18,02;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;115,0000;124,0000;695,0000;65,0000;0,4812;0,6389;0,5489;0,8062;0,4322
OPENJPA;2;10,22;18,02;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;121,0000;259,0000;560,0000;59,0000;0,3184;0,6722;0,4321;0,6780;0,2483
OPENJPA;2;10,22;18,02;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;73,0000;35,0000;784,0000;107,0000;0,6759;0,4056;0,5069;0,6814;0,4299
OPENJPA;2;10,22;18,02;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;819,0000;180,0000;NaN;0,0000;NaN;0,6941;0,0000
OPENJPA;2;10,22;18,02;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;97,0000;105,0000;714,0000;83,0000;0,4802;0,5389;0,5079;0,7996;0,3920
OPENJPA;2;10,22;18,02;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;165,0000;676,0000;143,0000;15,0000;0,1962;0,9167;0,3232;0,6818;0,0375
OPENJPA;2;10,22;18,02;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;115,0000;124,0000;695,0000;65,0000;0,4812;0,6389;0,5489;0,8061;0,4322
OPENJPA;2;10,22;18,02;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;137,0000;547,0000;272,0000;43,0000;0,2003;0,7611;0,3171;0,5466;0,0446
OPENJPA;2;10,22;18,02;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;72,0000;30,0000;789,0000;108,0000;0,7059;0,4000;0,5106;0,6817;0,4373
OPENJPA;2;10,22;18,02;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;819,0000;180,0000;NaN;0,0000;NaN;0,6863;0,0000
OPENJPA;2;10,22;18,02;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;81,0000;51,0000;768,0000;99,0000;0,6136;0,4500;0,5192;0,7953;0,4327
OPENJPA;2;10,22;18,02;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;88,0000;112,0000;707,0000;92,0000;0,4400;0,4889;0,4632;0,7581;0,3375
OPENJPA;2;10,22;18,02;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;115,0000;122,0000;697,0000;65,0000;0,4852;0,6389;0,5516;0,8061;0,4361
OPENJPA;2;10,22;18,02;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;65,0000;74,0000;745,0000;115,0000;0,4676;0,3611;0,4075;0,6354;0,2972
OPENJPA;2;10,22;18,02;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;72,0000;32,0000;787,0000;108,0000;0,6923;0,4000;0,5070;0,6805;0,4321
OPENJPA;2;10,22;18,02;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;819,0000;180,0000;NaN;0,0000;NaN;0,7936;0,0000
OPENJPA;2;10,22;18,02;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;74,0000;40,0000;779,0000;106,0000;0,6491;0,4111;0,5034;0,8010;0,4227
OPENJPA;2;10,22;18,02;IBK;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;14,0000;3,0000;816,0000;166,0000;0,8235;0,0778;0,1421;0,5371;0,1146
