Version,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,210,258,5,3,240,48,218,547,281,109,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,70,201,3,2,101,33,100,549,281,183,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,37,82,3,2,70,23,70,481,281,160,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,354,391,1,1,391,391,391,35,35,35,0,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,23,40,4,3,30,7,30,548,281,137,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,75,111,1,1,111,111,111,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,27,66,2,2,64,32,64,452,281,226,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,54,94,3,2,88,29,87,549,281,183,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,18,43,1,1,43,43,43,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,347,583,3,2,429,143,428,549,281,183,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,47,78,2,2,74,37,74,452,281,226,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,56,100,3,2,94,31,93,549,281,183,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,266,492,6,3,336,56,329,580,281,96,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,115,176,3,2,154,51,153,549,281,183,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,188,627,7,3,215,30,190,698,281,99,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,84,146,5,3,128,25,127,579,281,115,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,476,1679,13,3,575,44,401,769,281,59,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,112,155,3,2,149,49,148,549,281,183,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,6,33,2,2,31,15,31,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,43,54,1,1,54,54,54,35,35,35,0,true
0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,21,52,3,3,50,16,45,495,281,165,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,12,71,2,2,63,31,63,452,281,226,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,303,414,5,2,366,73,365,592,281,118,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,110,191,6,3,147,24,146,633,281,105,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,495,704,4,2,586,146,585,578,281,144,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,43,57,2,1,55,27,30,78,43,39,2,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,71,105,5,3,89,17,56,547,281,109,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,9,65,2,2,57,28,57,452,281,226,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,24,118,2,2,104,52,104,452,281,226,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,44,277,2,2,237,118,237,452,281,226,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,47,85,4,2,71,17,70,578,281,144,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,81,130,2,2,124,62,124,452,281,226,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,60,69,1,1,69,69,69,35,35,35,0,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,149,221,4,2,183,45,180,578,281,144,35,true
0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,26,49,1,1,49,49,49,281,281,281,35,false
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,108,135,2,1,135,67,135,342,281,171,35,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,13,46,2,2,36,18,36,452,281,226,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,49,109,3,2,79,26,78,549,281,183,35,false
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,96,145,3,2,133,44,133,481,281,160,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,15,37,1,1,37,37,37,281,281,281,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,118,174,4,2,160,40,159,578,281,144,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,158,183,2,1,179,89,177,39,35,19,0,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,5,29,2,2,27,13,27,452,281,226,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,53,160,4,3,92,23,91,567,281,141,35,false
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,29,66,2,2,64,32,64,452,281,226,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,474,650,8,3,510,63,499,693,281,86,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,131,218,7,3,162,23,148,653,281,93,35,true
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,121,151,1,1,151,151,151,35,35,35,0,true
0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,6,27,1,1,27,27,27,281,281,281,35,false
