dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
OPENJPA;1;7,68;11,72;IBK;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;2,0000;4,0000;832,0000;109,0000;0,3333;0,0180;0,0342;0,5066;0,0224
OPENJPA;1;7,68;11,72;IBK;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;50,0000;50,0000;786,0000;61,0000;0,5000;0,4505;0,4739;0,7977;0,4082
OPENJPA;1;7,68;11,72;IBK;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;31,0000;284,0000;552,0000;80,0000;0,0984;0,2793;0,1455;0,5505;-0,0336
OPENJPA;1;7,68;11,72;IBK;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;38,0000;199,0000;637,0000;73,0000;0,1603;0,3423;0,2184;0,5966;0,0699
OPENJPA;1;7,68;11,72;IBK;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;31,0000;284,0000;552,0000;80,0000;0,0984;0,2793;0,1455;0,4698;-0,0336
OPENJPA;1;7,68;11,72;IBK;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;38,0000;199,0000;637,0000;73,0000;0,1603;0,3423;0,2184;0,5522;0,0699
OPENJPA;1;7,68;11,72;IBK;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;22,0000;137,0000;699,0000;89,0000;0,1384;0,1982;0,1630;0,6972;0,0289
OPENJPA;1;7,68;11,72;IBK;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;10,0000;36,0000;800,0000;101,0000;0,2174;0,0901;0,1274;0,6772;0,0630
OPENJPA;2;9,69;16,92;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;57,0000;27,0000;803,0000;112,0000;0,6786;0,3373;0,4506;0,8377;0,3811
OPENJPA;2;9,69;16,92;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;107,0000;272,0000;558,0000;62,0000;0,2823;0,6331;0,3905;0,7686;0,2043
OPENJPA;2;9,69;16,92;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;830,0000;169,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;2;9,69;16,92;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;25,0000;9,0000;821,0000;144,0000;0,7353;0,1479;0,2463;0,5685;0,2010
OPENJPA;2;9,69;16,92;RANDOMFOREST;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;3,0000;0,0000;830,0000;166,0000;1,0000;0,0178;0,0349;0,7130;0,0292
OPENJPA;2;9,69;16,92;RANDOMFOREST;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;22,0000;8,0000;822,0000;147,0000;0,7333;0,1302;0,2211;0,8130;0,1792
OPENJPA;2;9,69;16,92;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;98,0000;61,0000;769,0000;71,0000;0,6164;0,5799;0,5976;0,8836;0,5186
OPENJPA;2;9,69;16,92;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;146,0000;430,0000;400,0000;23,0000;0,2535;0,8639;0,3919;0,7664;0,1765
OPENJPA;2;9,69;16,92;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;2,0000;0,0000;830,0000;167,0000;1,0000;0,0118;0,0234;0,5059;0,0195
OPENJPA;2;9,69;16,92;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;64,0000;53,0000;777,0000;105,0000;0,5470;0,3787;0,4476;0,6574;0,3588
OPENJPA;2;9,69;16,92;RANDOMFOREST;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;3,0000;1,0000;829,0000;166,0000;0,7500;0,0178;0,0347;0,8380;0,0271
OPENJPA;2;9,69;16,92;RANDOMFOREST;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;60,0000;30,0000;800,0000;109,0000;0,6667;0,3550;0,4633;0,7793;0,3918
OPENJPA;2;9,69;16,92;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;141,0000;223,0000;607,0000;28,0000;0,3874;0,8343;0,5291;0,8416;0,3876
OPENJPA;2;9,69;16,92;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;159,0000;381,0000;449,0000;10,0000;0,2944;0,9408;0,4485;0,8728;0,2571
OPENJPA;2;9,69;16,92;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;4,0000;0,0000;830,0000;165,0000;1,0000;0,0237;0,0462;0,5118;0,0387
OPENJPA;2;9,69;16,92;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;81,0000;63,0000;767,0000;88,0000;0,5625;0,4793;0,5176;0,7017;0,4286
OPENJPA;2;9,69;16,92;RANDOMFOREST;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;148,0000;296,0000;534,0000;21,0000;0,3333;0,8757;0,4829;0,8672;0,3150
OPENJPA;2;9,69;16,92;RANDOMFOREST;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;142,0000;311,0000;519,0000;27,0000;0,3135;0,8402;0,4566;0,8536;0,2789
OPENJPA;2;9,69;16,92;RANDOMFOREST;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;73,0000;40,0000;790,0000;96,0000;0,6460;0,4320;0,5177;0,8934;0,4421
OPENJPA;2;9,69;16,92;RANDOMFOREST;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;140,0000;300,0000;530,0000;29,0000;0,3182;0,8284;0,4598;0,7899;0,2850
OPENJPA;2;9,69;16,92;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;0,0000;0,0000;830,0000;169,0000;NaN;0,0000;NaN;0,5000;0,0000
OPENJPA;2;9,69;16,92;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;60,0000;48,0000;782,0000;109,0000;0,5556;0,3550;0,4332;0,6486;0,3471
OPENJPA;2;9,69;16,92;RANDOMFOREST;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;13,0000;2,0000;828,0000;156,0000;0,8667;0,0769;0,1413;0,8332;0,1169
OPENJPA;2;9,69;16,92;RANDOMFOREST;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;54,0000;20,0000;810,0000;115,0000;0,7297;0,3195;0,4444;0,8556;0,3806
OPENJPA;2;9,69;16,92;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;148,0000;486,0000;344,0000;21,0000;0,2334;0,8757;0,3686;0,7319;0,1385
OPENJPA;2;9,69;16,92;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;69,0000;31,0000;799,0000;100,0000;0,6900;0,4083;0,5130;0,8158;0,4429
OPENJPA;2;9,69;16,92;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;97,0000;154,0000;676,0000;72,0000;0,3865;0,5740;0,4619;0,6942;0,3255
OPENJPA;2;9,69;16,92;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;49,0000;19,0000;811,0000;120,0000;0,7206;0,2899;0,4135;0,6335;0,3504
OPENJPA;2;9,69;16,92;NAIVEBAYES;NO_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;97,0000;155,0000;675,0000;72,0000;0,3849;0,5740;0,4608;0,7319;0,3239
OPENJPA;2;9,69;16,92;NAIVEBAYES;NO_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;49,0000;19,0000;811,0000;120,0000;0,7206;0,2899;0,4135;0,8158;0,3504
OPENJPA;2;9,69;16,92;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;166,0000;822,0000;8,0000;3,0000;0,1680;0,9822;0,2869;0,6568;-0,0028
OPENJPA;2;9,69;16,92;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;95,0000;107,0000;723,0000;74,0000;0,4703;0,5621;0,5121;0,8156;0,4020
OPENJPA;2;9,69;16,92;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;154,0000;684,0000;146,0000;15,0000;0,1838;0,9112;0,3059;0,5436;0,0338
OPENJPA;2;9,69;16,92;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;63,0000;29,0000;801,0000;106,0000;0,6848;0,3728;0,4828;0,6689;0,4127
OPENJPA;2;9,69;16,92;NAIVEBAYES;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;830,0000;169,0000;NaN;0,0000;NaN;0,7420;0,0000
OPENJPA;2;9,69;16,92;NAIVEBAYES;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;111,0000;120,0000;710,0000;58,0000;0,4805;0,6568;0,5550;0,8105;0,4469
OPENJPA;2;9,69;16,92;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;131,0000;265,0000;565,0000;38,0000;0,3308;0,7751;0,4637;0,7440;0,2970
OPENJPA;2;9,69;16,92;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;110,0000;117,0000;713,0000;59,0000;0,4846;0,6509;0,5556;0,8159;0,4486
OPENJPA;2;9,69;16,92;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;101,0000;179,0000;651,0000;68,0000;0,3607;0,5976;0,4499;0,6910;0,3028
OPENJPA;2;9,69;16,92;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;69,0000;28,0000;802,0000;100,0000;0,7113;0,4083;0,5188;0,6873;0,4511
OPENJPA;2;9,69;16,92;NAIVEBAYES;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;12,0000;1,0000;829,0000;157,0000;0,9231;0,0710;0,1319;0,7361;0,1104
OPENJPA;2;9,69;16,92;NAIVEBAYES;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;117,0000;228,0000;602,0000;52,0000;0,3391;0,6923;0,4553;0,8041;0,2952
OPENJPA;2;9,69;16,92;NAIVEBAYES;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;85,0000;120,0000;710,0000;84,0000;0,4146;0,5030;0,4545;0,7920;0,3304
OPENJPA;2;9,69;16,92;NAIVEBAYES;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;111,0000;126,0000;704,0000;58,0000;0,4684;0,6568;0,5468;0,8169;0,4353
OPENJPA;2;9,69;16,92;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_THRESHOLD;64,0000;73,0000;757,0000;105,0000;0,4672;0,3787;0,4183;0,6454;0,3145
OPENJPA;2;9,69;16,92;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_THRESHOLD;69,0000;32,0000;798,0000;100,0000;0,6832;0,4083;0,5111;0,6849;0,4403
OPENJPA;2;9,69;16,92;NAIVEBAYES;SMOTE;NO_SELECTION;SENSITIVE_LEARNING;0,0000;0,0000;830,0000;169,0000;NaN;0,0000;NaN;0,8073;0,0000
OPENJPA;2;9,69;16,92;NAIVEBAYES;SMOTE;BEST_FIRST;SENSITIVE_LEARNING;71,0000;40,0000;790,0000;98,0000;0,6396;0,4201;0,5071;0,8139;0,4308
