dataset;#TrainingRelease;%Defective in training;%Defective in testing;classifier;balancing;Feature Selection;cost;TP;FP;TN;FN;Precision;Recall;FMeasure;ROC Area;Kappa
BOOKKEEPER;1;38,64;40,45;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;74,0000;88,0000;43,0000;15,0000;0,4568;0,8315;0,5896;0,5799;0,1411
BOOKKEEPER;1;38,64;40,45;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8495;0,7118
BOOKKEEPER;1;38,64;40,45;IBK;OVER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;26,0000;3,0000;128,0000;63,0000;0,8966;0,2921;0,4407;0,5381;0,3019
BOOKKEEPER;1;38,64;40,45;IBK;OVER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;0,0000;0,0000;131,0000;89,0000;NaN;0,0000;NaN;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;IBK;UNDER_SAMPLING;NO_SELECTION;NO_COST_SENSITIVE;74,0000;88,0000;43,0000;15,0000;0,4568;0,8315;0,5896;0,5799;0,1411
BOOKKEEPER;1;38,64;40,45;IBK;UNDER_SAMPLING;BEST_FIRST;NO_COST_SENSITIVE;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8495;0,7118
BOOKKEEPER;1;38,64;40,45;IBK;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_THRESHOLD;74,0000;88,0000;43,0000;15,0000;0,4568;0,8315;0,5896;0,5799;0,1411
BOOKKEEPER;1;38,64;40,45;IBK;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_THRESHOLD;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8495;0,7118
BOOKKEEPER;1;38,64;40,45;IBK;UNDER_SAMPLING;NO_SELECTION;SENSITIVE_LEARNING;37,0000;5,0000;126,0000;52,0000;0,8810;0,4157;0,5649;0,6888;0,4125
BOOKKEEPER;1;38,64;40,45;IBK;UNDER_SAMPLING;BEST_FIRST;SENSITIVE_LEARNING;89,0000;131,0000;0,0000;0,0000;0,4045;1,0000;0,5761;0,5000;0,0000
BOOKKEEPER;1;38,64;40,45;IBK;SMOTE;NO_SELECTION;NO_COST_SENSITIVE;76,0000;89,0000;42,0000;13,0000;0,4606;0,8539;0,5984;0,5873;0,1535
BOOKKEEPER;1;38,64;40,45;IBK;SMOTE;BEST_FIRST;NO_COST_SENSITIVE;69,0000;10,0000;121,0000;20,0000;0,8734;0,7753;0,8214;0,8495;0,7118
